Last login: Tue Apr 28 18:21:57 on ttys000
D-69-91-151-59:~ DarcyElizabeth$ cd Desktop/
D-69-91-151-59:Desktop DarcyElizabeth$ ls
PTMSC_Project	canada		map		soupenv
D-69-91-151-59:Desktop DarcyElizabeth$ source map/bin/activate
(map)D-69-91-151-59:Desktop DarcyElizabeth$ cd soupenv/
(map)D-69-91-151-59:soupenv DarcyElizabeth$ ls
AIS_Page.html		local			shiptracker
bin			map			shiptracker_B.py
datetime		mashup.py		test.py
include			my_map.json
lib			pip-selfcheck.json
(map)D-69-91-151-59:soupenv DarcyElizabeth$ python test.py 
1: Date/time, 2:Position, 3: Naut miles run, 4:Avg speed
1: 2015-Apr-23 18:34, 2:N 47°59' W 122°16', 3: 2, 4: 1.8
1: 2015-Apr-23 17:33, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 16:33, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 15:12, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 14:30, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 13:33, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 12:30, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 11:33, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 10:30, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 09:33, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 08:33, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 07:30, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 06:33, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 05:33, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 04:30, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 03:30, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 02:32, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 01:32, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-23 00:32, 2:N 47°60' W 122°13', 3: 1, 4: 1.2
1: 2015-Apr-22 23:33, 2:N 47°59' W 122°14', 3: 8, 4: 8.1
1: 2015-Apr-22 22:33, 2:N 47°53' W 122°23', 3: 7, 4: 6.9
1: 2015-Apr-22 21:32, 2:N 47°56' W 122°33', 3: 3, 4: 2.4
1: 2015-Apr-22 20:15, 2:N 47°54' W 122°36', 3: 2, 4: 2.3
1: 2015-Apr-22 19:31, 2:N 47°55' W 122°38', 3: 5, 4: 5.2
1: 2015-Apr-22 18:33, 2:N 47°57' W 122°31', 3: 3, 4: 3.4
1: 2015-Apr-22 17:33, 2:N 47°55' W 122°28', 3: 5, 4: 5.3
1: 2015-Apr-22 16:33, 2:N 47°55' W 122°20', 3: 5, 4: 5.3
1: 2015-Apr-22 15:33, 2:N 47°60' W 122°16', 3: 1, 4: 1.4
1: 2015-Apr-22 14:32, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-22 13:32, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-22 12:23, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-22 11:32, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-22 10:26, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-22 09:29, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-22 08:32, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-22 07:29, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-22 06:29, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-22 05:32, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-22 04:29, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-22 03:32, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-22 02:29, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-22 01:29, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-22 00:26, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-21 23:33, 2:N 47°60' W 122°13', 3: 9, 4: 8.4
1: 2015-Apr-21 22:30, 2:N 48°04' W 122°25', 3: 7, 4: 6.2
